"species","SLA","seed_mass","canopy_height","flowering_duration"
"Acer_campestre",14.5366667,54.3482824,13.4214286,1
"Alnus_glutinosa",14.7562371,2.3111,14.3333333,1
"Alopecurus_myosuroides",27.2666667,2.15047619,0.3,3
"Anthemis_cotula",22.4,0.4542,0.285,2
"Arum_maculatum",33.26,72.6432533,0.2425,1
"Calluna_vulgaris",11.733,0.02911111,0.826,2
"Chenopodium_album",22.2141323,0.647,0.48333333,3
"Cladium_mariscus",7.02,2.23789714,1.4,1
"Corynephorus_canescens",13.8175,2.03612,0.075,1
"Crambe_maritima",9.17333333,69.8934857,0.3875,3
"Dactylis_glomerata",24.3730297,0.9114225,0.454,3
"Deschampsia_cespitosa",14.721946,0.21111228,0.4325,2
"Eleocharis_palustris",10.31,1.01186667,0.525,2
"Eleocharis_uniglumis",15.05,1.4915,0.225,2
"Empetrum_nigrum",8.27884009,1.03483846,0.15,1
"Erica_cinerea",10.875,0.0595,0.4625,2
"Erica_tetralix",9.828,0.01292889,0.4375,2
"Eriophorum_angustifolium",10.4642857,0.59969231,0.19666667,1
"Eriophorum_vaginatum",11.994037,0.86626667,0.425,1
"Fraxinus_excelsior",13.4855157,58.4213475,26.1428571,1
"Gentiana_pneumonanthe",16.61,0.05581,0.20333333,3
"Glaucium_flavum",16.98,0.93205714,0.4975,3
"Glyceria_maxima",19.78809,0.571,1.3,2
"Halimione_portulacoides",13.9,3.54487273,0.625,2
"Helianthemum_oelandicum",7.6,0.78133333,0.1,2
"Hippocrepis_comosa",15.2325,3.74848889,0.16333333,2
"Holcus_lanatus",34.035507,0.40691667,0.325,4
"Holcus_mollis",40.27,0.3484,0.275,2
"Hornungia_petraea",19,0.07126667,0.06166667,3
"Hypochaeris_radicata",22.2166667,0.63226714,0.065,6
"Ilex_aquifolium",6.6,50.6104,11.95,3
"Juncus_conglomeratus",4.9,0.01812308,0.72,2
"Juncus_effusus",10.936,0.01860741,0.9,2
"Juncus_inflexus",3.645,0.07538348,0.45,2
"Juncus_squarrosus",5.83,0.07955,0.1675,1
"Juncus_subnodulosus",6.6,0.01532,0.725,2
"Limonium_vulgare",10.8333333,1.0691,0.165,1
"Lobelia_dortmanna",19.37,0.049,0.04,1
"Lolium_perenne",25.6677771,1.97511111,0.125,3
"Menyanthes_trifoliata",23.6766667,2.97472,0.17666667,2
"Narcissus_pseudonarcissus",19.3,5.81173333,0.225,2
"Nardus_stricta",10.394,0.35723611,0.12,2
"Narthecium_ossifragum",24.15,0.08753143,0.165,2
"Nuphar_lutea",15.965,24.7611667,0.03,2
"Nymphaea_alba",14.7,1.90181818,0.03,2
"Papaver_argemone",23.8,0.1716,0.20625,2
"Papaver_rhoeas",33.07,0.10933333,0.3675,4
"Pinus_sylvestris",5.34747375,7.572,34.5,1
"Plantago_coronopus",16.4816667,0.1661875,0.03625,2
"Plantago_media",19.2613351,0.385075,0.17166667,1
"Polemonium_caeruleum",37.2666667,0.96781538,0.45,1
"Puccinellia_maritima",15.97,0.7692,0.2,1
"Ranunculus_acris",23.0693592,1.72743,0.2575,2
"Ranunculus_repens",24.4526426,2.24169697,0.24166667,3
"Saxifraga_oppositifolia",14.8,0.11177778,0.14,5
"Schoenus_nigricans",4.77666667,0.6411125,0.3,1
"Silene_acaulis",13.85,0.30980879,0.026,2
"Silene_dioica",36.785875,0.7729775,0.5632,1
"Sinapis_arvensis",39.0088889,2.34714762,0.38333333,11
"Sonchus_asper",24.9738959,0.28033333,0.475,3
"Sparganium_erectum",19.4933333,18.3422,0.375,2
"Spergula_arvensis",18.8822222,0.34643636,0.2,2
"Stellaria_media",53.6810761,0.3852,0.16666667,11
"Suaeda_maritima",11.43,0.79893333,0.16,3
"Succisa_pratensis",17.9366667,1.3694303,0.34166667,5
"Teucrium_scorodonia",17.7825,0.87513846,0.25,2
"Thymus_serpyllum",17.02,0.1968,0.075,1
"Trifolium_repens",31.4430409,0.59002667,0.35,3
"Urtica_urens",21,0.5132,0.26666667,3
"Vaccinium_myrtillus",20.7195251,40.8073556,0.3135,2
